		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 0.421875	M = 224	N = 8	m = 9	n = 1792
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001    0    0    1    0    1    2    1    2 15.408947 0.051665 SUCCESS   0
000000011    0    0    0    1    1    1    0    2  9.941703 0.269141 SUCCESS   1
000000101    0    1    1    0    0    2    1    2 15.408947 0.051665 SUCCESS   2
000000111    0    0    1    0    0    1    0    2  9.572294 0.296337 SUCCESS   3
000001001    1    0    0    0    0    1    0    0  4.105051 0.847523 SUCCESS   4
000001011    1    0    1    0    0    3    1    2 25.235209 0.001418 FAILURE   5
000001101    0    1    1    0    3    0    0    0 19.398557 0.012868 SUCCESS   6
000001111    0    0    1    0    0    1    1    2  9.941703 0.269141 SUCCESS   7
000010001    1    0    1    1    0    0    0    0  4.474459 0.811983 SUCCESS   8
000010011    0    0    0    0    0    1    1    0  4.105051 0.847523 SUCCESS   9
000010101    0    1    0    0    0    1    0    1  4.474459 0.811983 SUCCESS  10
000010111    0    0    0    0    1    2    1    2 15.039538 0.058381 SUCCESS  11
000011001    0    0    0    1    0    0    0    0  3.735642 0.880153 SUCCESS  12
000011011    0    1    1    1    2    0    0    1 10.311111 0.243865 SUCCESS  13
000011101    1    0    0    0    1    0    0    0  4.105051 0.847523 SUCCESS  14
000011111    0    1    1    0    0    0    1    1  4.843867 0.774126 SUCCESS  15
000100011    2    0    0    0    0    1    0    0  9.202886 0.325471 SUCCESS  16
000100101    0    0    0    0    0    0    0    1  3.735642 0.880153 SUCCESS  17
000100111    0    0    0    0    0    1    0    1  4.105051 0.847523 SUCCESS  18
000101001    0    1    0    1    1    1    1    0  5.213276 0.734557 SUCCESS  19
000101011    0    1    2    2    2    0    1    0 20.506782 0.008580 FAILURE  20
000101101    1    0    2    0    0    0    1    0  9.572294 0.296337 SUCCESS  21
000101111    0    0    0    0    2    1    1    2 15.039538 0.058381 SUCCESS  22
000110011    0    0    1    1    0    0    1    1  4.843867 0.774126 SUCCESS  23
