		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 10.109375	M = 5184	N = 8	m = 9	n = 41472
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001    6   11   13   14   13    9    7   12  6.538272 0.587166 SUCCESS   0
000000011    2   10   16    8   16    7   10   16 18.797157 0.015983 SUCCESS   1
000000101   16   14   13    6   11   11   13    7  9.673226 0.288714 SUCCESS   2
000000111    4   12   15   14   12    9    7   13 10.500062 0.231666 SUCCESS   3
000001001   18   10    7   14   17   12   12   10 14.477815 0.070130 SUCCESS   4
000001011   18   10   11   11   11   11   12   10  7.052251 0.531006 SUCCESS   5
000001101    8   14   11   11   13   12   10   10  3.384163 0.907992 SUCCESS   6
000001111    8   15    9   11   12   12    7   12  5.187879 0.737320 SUCCESS   7
000010001   11    8    8    7    8   11   15   11  5.037835 0.753525 SUCCESS   8
000010011   13    9    8   11   19    6    8   11 11.850455 0.158002 SUCCESS   9
000010101   13   10    9   10   10   11    6    5  5.456042 0.707905 SUCCESS  10
000010111   13   11   14   10   14    8    9    9  4.734555 0.785534 SUCCESS  11
000011001    9   10   11   11    8   12    8   12  1.928420 0.983128 SUCCESS  12
000011011    5   11   10    6   15   16   14   11 12.089887 0.147238 SUCCESS  13
000011101    6   13   11    6   13    9    9    9  5.615663 0.690195 SUCCESS  14
000011111   10   12    8   17    9   14    7   10  8.332411 0.401691 SUCCESS  15
000100011   16   10    8   10   10   11   12   12  4.814366 0.777220 SUCCESS  16
000100101   12    7    7   19   16   12   13    8 15.633471 0.047937 SUCCESS  17
000100111   13    8   11   15   12    9    7   11  5.392194 0.714953 SUCCESS  18
000101001   10   12    8   12    9   10   14    6  4.584512 0.800920 SUCCESS  19
000101011   13   10    8    9   15    9    4    5 10.484100 0.232678 SUCCESS  20
000101101   14   10    9    5    5    9   13    7  8.974087 0.344487 SUCCESS  21
000101111   12    6   12   11   12    8   10   18  9.717920 0.285385 SUCCESS  22
000110011   11   12   17   11    7   13    8   15 10.116972 0.256912 SUCCESS  23
000110101    4   12    8   14    6   13   13   10  9.612570 0.293278 SUCCESS  24
000110111    8   12    6    3   18   15    9   15 19.081282 0.014431 SUCCESS  25
000111001   11    7   10   16   10    5   10    6  9.009203 0.341520 SUCCESS  26
000111011    5    8    7    3   14   11   11    7 11.968575 0.152612 SUCCESS  27
000111101    8   14   18    5   10   10    8   11 11.566330 0.171627 SUCCESS  28
000111111   11   15    5   14    9   10   20   13 17.711735 0.023495 SUCCESS  29
001000011   12   15   18   16    8   11    8   10 13.705250 0.089779 SUCCESS  30
001000101   16    9    9    4    8   10    9   13  9.044320 0.338571 SUCCESS  31
001000111   11    8    9   10   12    9   12   11  1.599601 0.990928 SUCCESS  32
001001011   13   12    7    9   12   12   10   11  3.144731 0.924949 SUCCESS  33
001001101    8    9    9   12   16   10   10   10  4.619628 0.797349 SUCCESS  34
001001111   11   12   11   16   13   10    9   15  7.495997 0.484181 SUCCESS  35
001010011   12   13   12   16    6    8   11    9  7.515152 0.482203 SUCCESS  36
001010101   13    7   10   12    4    6   11   10  7.828008 0.450449 SUCCESS  37
001010111    9   11    8    7   11    8   11    5  4.932485 0.764767 SUCCESS  38
001011011   13    9    8    4    7   15   10   10  8.680384 0.369971 SUCCESS  39
001011101    9   10   14    7    9   12    8   16  7.151216 0.520409 SUCCESS  40
001011111   10    5   10   14   12   11   15   13  7.958898 0.437495 SUCCESS  41
001100101   11   14   15    6    9   17    6   11 12.578326 0.127205 SUCCESS  42
001100111   12    9    9   10   12    9    8   13  2.416860 0.965495 SUCCESS  43
001101011    7   10   10   12    8   13   11   11  2.825489 0.944827 SUCCESS  44
001101101   11   12    8   17   10   12   12    7  7.470458 0.486825 SUCCESS  45
001101111   11   12   10    8   17   13   12    9  7.096945 0.526210 SUCCESS  46
001110101    7    9   14    8   12    7    9   14  6.139219 0.631641 SUCCESS  47
001110111   15    4    8    7   15   10   10    9 10.270208 0.246571 SUCCESS  48
001111011    5   11   11    7   12    8    5   14  8.849582 0.355144 SUCCESS  49
001111101   16    4   15    9    8   15    5    9 15.617508 0.048194 SUCCESS  50
001111111    8   11    7   14    6   12   12    9  5.650779 0.686284 SUCCESS  51
010000011   11   16    8    8   12   11    5   12  8.013169 0.432185 SUCCESS  52
010000111   11   16   15   13   11   11   10    5  9.753037 0.282789 SUCCESS  53
010001011   11    8   10    7    9   13   12   10  2.870183 0.942238 SUCCESS  54
010001111   10   10   12   12   10    9   16    9  4.530241 0.806400 SUCCESS  55
010010011    9    8    9    4   10   12    7    7  6.860706 0.551733 SUCCESS  56
010010111   10    8    6    9    7    9   11   12  3.866218 0.868987 SUCCESS  57
010011011   12    9    7   11   13    8   13   11  3.802369 0.874500 SUCCESS  58
010011111   10   12    7   16    5    9    8    9  8.271755 0.407385 SUCCESS  59
010100011   10   10    8   15    8   10   15    6  7.524729 0.481215 SUCCESS  60
010100111   14    9   10   16    6    8   13    8  8.705923 0.367708 SUCCESS  61
010101011   12    9   10   11    2    6   11   10  9.098591 0.334047 SUCCESS  62
010101111    8   10   10    9    9    6   11    6  4.239731 0.834872 SUCCESS  63
010110011   14   16    8    9   15   16   10    7 12.648560 0.124527 SUCCESS  64
010110111   11    7    8    6    8   13   10   11  4.638783 0.795393 SUCCESS  65
010111011   10   10   11    3    4   10   12   14 10.972540 0.203260 SUCCESS  66
010111111    9    6    9   13   12   10   11    8  3.732136 0.880446 SUCCESS  67
