		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 0.375000	M = 200	N = 8	m = 9	n = 1600
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001    1    0    0    0    1    0    1    0  4.964848 0.761326 SUCCESS   0
000000011    1    0    0    0    2    0    0    0 10.260687 0.247204 SUCCESS   1
000000101    0    0    0    0    0    0    0    0  2.978909 0.935674 SUCCESS   2
000000111    0    1    0    0    1    1    0    0  4.964848 0.761326 SUCCESS   3
000001001    0    0    0    0    0    0    0    1  3.640889 0.887985 SUCCESS   4
000001011    0    0    0    0    1    0    0    0  3.640889 0.887985 SUCCESS   5
000001101    0    0    0    0    0    1    0    0  3.640889 0.887985 SUCCESS   6
000001111    0    0    0    1    1    0    0    0  4.302869 0.828816 SUCCESS   7
000010001    0    0    1    0    0    0    0    0  3.640889 0.887985 SUCCESS   8
000010011    0    0    0    1    0    0    0    1  4.302869 0.828816 SUCCESS   9
000010101    2    0    0    1    1    1    1    0 12.246626 0.140535 SUCCESS  10
000010111    0    1    1    1    0    0    0    0  4.964848 0.761326 SUCCESS  11
000011001    1    0    0    0    1    0    1    0  4.964848 0.761326 SUCCESS  12
000011011    0    0    0    0    1    0    0    0  3.640889 0.887985 SUCCESS  13
000011101    1    2    0    0    0    0    0    0 10.260687 0.247204 SUCCESS  14
000011111    0    0    0    1    1    0    0    0  4.302869 0.828816 SUCCESS  15
000100011    0    0    0    0    0    0    0    0  2.978909 0.935674 SUCCESS  16
000100101    0    0    0    0    0    0    0    0  2.978909 0.935674 SUCCESS  17
000100111    0    0    0    1    0    1    0    4 38.725818 0.000006 FAILURE  18
000101001    0    0    0    0    0    0    0    0  2.978909 0.935674 SUCCESS  19
000101011    2    0    0    1    0    1    1    0 11.584646 0.170720 SUCCESS  20
000101101    0    0    0    0    0    0    0    1  3.640889 0.887985 SUCCESS  21
000101111    0    1    4    1    1    0    0    2 46.007596 0.000000 FAILURE  22
000110011    1    0    0    0    0    0    1    1  4.964848 0.761326 SUCCESS  23
000110101    1    0    1    1    0    1    0    0  5.626828 0.688952 SUCCESS  24
000110111    0    0    0    0    1    0    0    1  4.302869 0.828816 SUCCESS  25
000111001    0    0    0    0    0    0    1    0  3.640889 0.887985 SUCCESS  26
000111011    1    1    1    0    0    1    0    0  5.626828 0.688952 SUCCESS  27
000111101    0    1    1    0    0    1    0    0  4.964848 0.761326 SUCCESS  28
000111111    0    0    0    0    2    0    0    0  9.598707 0.294328 SUCCESS  29
001000011    0    1    0    0    1    0    0    0  4.302869 0.828816 SUCCESS  30
001000101    0    0    3    0    0    0    0    0 20.852364 0.007550 FAILURE  31
001000111    0    0    0    0    1    0    0    0  3.640889 0.887985 SUCCESS  32
001001011    0    0    0    0    0    1    0    0  3.640889 0.887985 SUCCESS  33
001001101    0    1    0    1    1    0    0    0  4.964848 0.761326 SUCCESS  34
001001111    0    0    0    1    1    1    0    2 11.584646 0.170720 SUCCESS  35
001010011    0    0    0    0    0    0    0    0  2.978909 0.935674 SUCCESS  36
001010101    0    0    0    0    0    0    0    0  2.978909 0.935674 SUCCESS  37
001010111    2    0    0    0    0    1    3    0 28.134141 0.000449 FAILURE  38
001011011    0    0    0    1    0    0    0    2 10.260687 0.247204 SUCCESS  39
001011101    0    0    0    0    0    0    1    1  4.302869 0.828816 SUCCESS  40
001011111    0    1    1    1    0    0    0    2 11.584646 0.170720 SUCCESS  41
001100101    0    2    0    0    0    0    1    0 10.260687 0.247204 SUCCESS  42
001100111    0    1    0    0    0    0    1    1  4.964848 0.761326 SUCCESS  43
001101011    0    1    0    1    0    0    0    0  4.302869 0.828816 SUCCESS  44
001101101    0    2    0    0    0    1    0    0 10.260687 0.247204 SUCCESS  45
001101111    0    0    0    0    1    0    0    1  4.302869 0.828816 SUCCESS  46
001110101    0    0    1    0    1    1    1    0  5.626828 0.688952 SUCCESS  47
001110111    2    0    1    1    0    2    0    0 17.542465 0.024931 SUCCESS  48
001111011    0    1    1    1    0    1    0    0  5.626828 0.688952 SUCCESS  49
001111101    0    0    0    2    0    0    0    1 10.260687 0.247204 SUCCESS  50
001111111    0    0    0    0    0    0    0    0  2.978909 0.935674 SUCCESS  51
010000011    1    0    1    1    0    1    2    0 12.246626 0.140535 SUCCESS  52
010000111    0    0    0    0    0    0    0    0  2.978909 0.935674 SUCCESS  53
010001011    0    0    3    1    0    0    0    1 22.176323 0.004599 FAILURE  54
010001111    0    0    0    0    1    0    0    0  3.640889 0.887985 SUCCESS  55
010010011    0    1    1    0    2    0    0    0 10.922667 0.206120 SUCCESS  56
010010111    1    0    1    0    0    0    0    0  4.302869 0.828816 SUCCESS  57
010011011    0    1    0    1    1    0    0    0  4.964848 0.761326 SUCCESS  58
010011111    0    0    0    1    0    0    0    1  4.302869 0.828816 SUCCESS  59
010100011    0    1    1    0    0    0    0    0  4.302869 0.828816 SUCCESS  60
010100111    0    1    0    0    0    1    0    0  4.302869 0.828816 SUCCESS  61
010101011    0    0    0    0    0    0    0    0  2.978909 0.935674 SUCCESS  62
010101111    1    0    0    0    1    0    2    0 10.922667 0.206120 SUCCESS  63
010110011    0    0    0    1    1    0    0    0  4.302869 0.828816 SUCCESS  64
010110111    0    0    0    0    0    2    1    1 10.922667 0.206120 SUCCESS  65
010111011    0    0    0    0    0    1    1    0  4.302869 0.828816 SUCCESS  66
010111111    1    0    0    0    0    0    1    2 10.922667 0.206120 SUCCESS  67
011000111    2    1    1    0    0    1    0    0 11.584646 0.170720 SUCCESS  68
011001111    0    1    0    0    0    0    0    0  3.640889 0.887985 SUCCESS  69
011010111    0    1    1    1    0    0    0    0  4.964848 0.761326 SUCCESS  70
011011111    0    1    0    0    1    2    1    2 18.204444 0.019745 SUCCESS  71
011101111    1    0    1    1    1    2    0    0 12.246626 0.140535 SUCCESS  72
011111111    0    0    0    1    0    0    0    0  3.640889 0.887985 SUCCESS  73
100000000    1    0    0    0    1    0    1    0  4.964848 0.761326 SUCCESS  74
100010000    0    0    0    0    0    1    0    0  3.640889 0.887985 SUCCESS  75
100100000    1    0    1    0    0    0    1    0  4.964848 0.761326 SUCCESS  76
100101000    0    1    0    0    0    0    0    0  3.640889 0.887985 SUCCESS  77
100110000    0    0    1    0    1    0    0    1  4.964848 0.761326 SUCCESS  78
100111000    0    0    1    0    0    1    0    3 22.176323 0.004599 FAILURE  79
101000000    1    1    0    0    0    0    1    0  4.964848 0.761326 SUCCESS  80
101000100    0    2    0    0    0    2    0    0 16.218505 0.039357 SUCCESS  81
101001000    1    0    1    0    1    0    0    1  5.626828 0.688952 SUCCESS  82
101001100    0    1    0    1    1    0    0    0  4.964848 0.761326 SUCCESS  83
101010000    0    1    0    2    0    1    0    0 10.922667 0.206120 SUCCESS  84
101010100    0    0    0    1    1    1    2    0 11.584646 0.170720 SUCCESS  85
101011000    0    0    2    0    0    0    1    0 10.260687 0.247204 SUCCESS  86
101011100    1    1    0    1    0    0    0    0  4.964848 0.761326 SUCCESS  87
