		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 5.679688	M = 2916	N = 8	m = 9	n = 23328
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001    8    8    6    3    7    6    3    3  6.221757 0.622407 SUCCESS   0
000000011    4   10    4    4    6    8    5    6  6.025955 0.644324 SUCCESS   1
000000101    7    9    5    3    4    6    7    4  5.066811 0.750412 SUCCESS   2
000000111    7    9    4    4    6    7    6    4  4.209824 0.837713 SUCCESS   3
000001001    8   10    5    4    5    6    5    2  7.609394 0.472524 SUCCESS   4
000001011    3    5    5    8    7   12    8    2 13.457904 0.097036 SUCCESS   5
000001101    4    7    5    7    3    4    7    6  3.381214 0.908211 SUCCESS   6
000001111    9    1    4    6    9    3    7    5 10.217245 0.250108 SUCCESS   7
000010001    3    5   10    4    6    5    6    6  5.430037 0.710778 SUCCESS   8
000010011    7   10    4    3    4    4    5    5  6.715517 0.567614 SUCCESS   9
000010101    5    6    2    2    3    1    4    5 10.898294 0.207529 SUCCESS  10
000010111    7    6    6   10    7    8    6    2  7.515750 0.482141 SUCCESS  11
000011001    1   11    7    6    5    3    5    6 10.943698 0.204910 SUCCESS  12
000011011    7   10   12    6    5    6   10    8 15.449973 0.050964 SUCCESS  13
000011101    5   10    5    4    6    3    5    8  6.454448 0.596465 SUCCESS  14
000011111    4    0    4    8    6    4    4    5  8.988519 0.343265 SUCCESS  15
000100011    9    5   11    3    4    5    6    8 10.123601 0.256458 SUCCESS  16
000100101    8    5    6    5    8    9    8    2  7.581017 0.475429 SUCCESS  17
000100111    7    5    7    4    1    5   10    4  9.192834 0.326291 SUCCESS  18
000101001    5    8    9    5    5    8    4    7  5.038434 0.753460 SUCCESS  19
000101011    4    6    2    4    6    1    8    9 10.478314 0.233045 SUCCESS  20
000101101    2    7    4    4    5   11    6    3 10.347780 0.241460 SUCCESS  21
000101111    5    6    5    9    8    9    4    4  6.193380 0.625580 SUCCESS  22
000110011    6    8    8    5    6    2    5    2  7.078744 0.528161 SUCCESS  23
000110101    7    9    3    4    4    8    7    3  7.246168 0.510321 SUCCESS  24
000110111    8    5    8    8    3    5    7    8  5.699619 0.680838 SUCCESS  25
000111001    5    3    3    8    6   10    7   14 19.967599 0.010459 SUCCESS  26
000111011    6    7    6    3    5    4    2    6  4.731962 0.785803 SUCCESS  27
000111101    9    1    6    7    7    6    5    2  9.192834 0.326291 SUCCESS  28
000111111    9    3    4    8    4    2    6    3  9.090676 0.334704 SUCCESS  29
001000011    7    7    7    3    6    8    5    6  3.352837 0.910306 SUCCESS  30
001000101    3    8    5    1    3    7    5    5  8.131532 0.420728 SUCCESS  31
001000111    8    6    7    3    4    3    5    9  6.519716 0.589222 SUCCESS  32
001001011    6    5    6    8    6    8    5    6  2.197891 0.974336 SUCCESS  33
001001101    6    7    4    6    3    3    6    4  4.005509 0.856626 SUCCESS  34
001001111    4    4   10    5    1    5    8    7  9.854019 0.275422 SUCCESS  35
001010011    5    5    4    4   12    8    2    6 11.902842 0.155592 SUCCESS  36
001010101    5    4    6    6    3    4    4    6  2.981098 0.935538 SUCCESS  37
001010111    8    3    5    3    3    3    6    7  6.613360 0.578863 SUCCESS  38
001011011    4    8    3    8    8    5    8    2  8.270580 0.407495 SUCCESS  39
001011101   10    7    7    9    6   11    4   10 15.086747 0.057481 SUCCESS  40
001011111    4    5   12    8    6    5    8    7 10.225758 0.249537 SUCCESS  41
001100101    5    6    8    2    8    7    3   10  9.527683 0.299752 SUCCESS  42
001100111    5    5    7    5    5    5    8    4  2.226268 0.973277 SUCCESS  43
001101011    6    8    6    5    3    5    6    1  6.482826 0.593313 SUCCESS  44
001101101    9   10    5    7    9   10    8    8 13.140081 0.107120 SUCCESS  45
001101111    7    4    3    7    5    2    6    6  5.029921 0.754373 SUCCESS  46
001110101    9    1    4    6    8    3    5    2 11.335301 0.183415 SUCCESS  47
001110111    8    6    5    5    4    4    2    7  4.964653 0.761347 SUCCESS  48
001111011   10    4    5    8    7    3    5    8  7.646285 0.468762 SUCCESS  49
001111101    5    8    4    4    7    8    7   16 23.040834 0.003312 FAILURE  50
001111111    3    2    6    7    4    9    7    4  7.441970 0.489782 SUCCESS  51
010000011    4    6    8   11    6    2   11    6 14.286514 0.074596 SUCCESS  52
010000111    5    6    5    5    4    5    2    9  5.327880 0.722026 SUCCESS  53
010001011    8    6    5    2    5    7    4    9  6.454448 0.596465 SUCCESS  54
010001111   12    4    5    3    4    3    6    5 11.074232 0.197528 SUCCESS  55
010010011    6    6    5    9    2    7    7    6  5.234235 0.732272 SUCCESS  56
010010111    7    7   12    6   11    8    7    6 14.360294 0.072845 SUCCESS  57
010011011    6    5    2    8    6    7    5    2  6.417558 0.600566 SUCCESS  58
010011111    4    6   11    6    5    9    6    8  8.772853 0.361819 SUCCESS  59
010100011   10    5    3    4    4    4    5    8  7.376703 0.496587 SUCCESS  60
010100111    3    3    6    4    8    8    4    9  7.609394 0.472524 SUCCESS  61
010101011    5    5    7   10    3    4    5    6  5.793263 0.670377 SUCCESS  62
010101111   11    3    6    4    1    5    4    7 11.865952 0.157286 SUCCESS  63
010110011    4    8    3    4    5    7    9   11 10.850053 0.210341 SUCCESS  64
010110111    3    6    4   12   12    6    7    3 17.984043 0.021346 SUCCESS  65
010111011    3    6    3    7    4    7    3   11 10.217245 0.250108 SUCCESS  66
010111111    6    4   10    8    4    4    6    6  5.960688 0.651636 SUCCESS  67
011000111   11    3    4    8   12    8    3    4 17.984043 0.021346 SUCCESS  68
011001111    3    7    4    5    5    6    9    7  4.638317 0.795441 SUCCESS  69
011010111    6    6    1    2    4    5    6    3  8.392601 0.396089 SUCCESS  70
011011111    5    5    3   13   11    5    3    7 18.049311 0.020860 SUCCESS  71
011101111    6   10    5    6    8    7    3    5  6.193380 0.625580 SUCCESS  72
011111111    4    1    3    6    4    6    7    7  6.976586 0.539161 SUCCESS  73
100000000    8    8    6    3    7    6    3    3  6.221757 0.622407 SUCCESS  74
100010000    6    2    9    7    6    6    6    5  4.936276 0.764365 SUCCESS  75
100100000    4    8    2    4    2    6    5    2  9.482280 0.303257 SUCCESS  76
100101000    9    9    3    4    6    3   12    5 14.482316 0.070028 SUCCESS  77
100110000    7   11    4    8    5    7    6   10 10.756409 0.215887 SUCCESS  78
100111000    6    4    6    9    5    5    7    5  3.120145 0.926593 SUCCESS  79
101000000    4    7   10    2    8    4    5    7  8.568539 0.379989 SUCCESS  80
101000100    5    3    8    5    3    5   10    2  9.686594 0.287715 SUCCESS  81
101001000    4    7    6    1    3    9    4    3  9.947663 0.268719 SUCCESS  82
101001100    6    5    5    4    9    4    5    7  3.613906 0.890172 SUCCESS  83
101010000    8    7    6    5   12    4    6    1 13.159945 0.106464 SUCCESS  84
101010100    3    5    6    7    4    4    6    5  2.850563 0.943382 SUCCESS  85
101011000    6    5    7    9    7    6    5    6  2.859076 0.942887 SUCCESS  86
101011100    6    6    3    5    5    5    4    4  2.617871 0.956008 SUCCESS  87
101100000    5    7    4    8    5    7    3    4  4.107667 0.847281 SUCCESS  88
